Model,Scenario,Policy_category,Policy_category_name
MESSAGE-GLOBIOM 1.0,SSP2-45,P2,P2: Immediate global action
REMIND-MAgPIE 1.5,SSP2-45,P2,P2: Immediate global action
WITCH-GLOBIOM 3.1,SSP2-45,P2,P2: Immediate global action
AIM 2.0,SSP2-60,P2,P2: Immediate global action
AIM/CGE 2.0,SSP2-60,P2,P2: Immediate global action
GCAM 4.2,SSP2-60,P2,P2: Immediate global action
IMAGE 3.0.1,SSP2-60,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,SSP2-60,P2,P2: Immediate global action
REMIND-MAgPIE 1.5,SSP2-60,P2,P2: Immediate global action
WITCH-GLOBIOM 3.1,SSP2-60,P2,P2: Immediate global action
REMIND 2.1,SSP2-B1100-bioH,P2,P2: Immediate global action
REMIND 2.1,SSP2-B1100-ccsH,P2,P2: Immediate global action
REMIND 2.1,SSP2-B1100-coalH,P2,P2: Immediate global action
REMIND 2.1,SSP2-B1100-elh2H,P2,P2: Immediate global action
REMIND 2.1,SSP2-B1100-elh2lH,P2,P2: Immediate global action
REMIND 2.1,SSP2-B1100-gasH,P2,P2: Immediate global action
REMIND 2.1,SSP2-B1100-nucH,P2,P2: Immediate global action
REMIND 2.1,SSP2-B1100-oilH,P2,P2: Immediate global action
REMIND 2.1,SSP2-B1100-spvH,P2,P2: Immediate global action
REMIND 2.1,SSP2-B1100-windH,P2,P2: Immediate global action
REMIND 2.1,SSP2-Base,P1a,P1a: Baseline
AIM 2.0,SSP2-Baseline,P1a,P1a: Baseline
AIM/CGE 2.0,SSP2-Baseline,P1a,P1a: Baseline
GCAM 4.2,SSP2-Baseline,P1a,P1a: Baseline
IMAGE 3.0.1,SSP2-Baseline,P1a,P1a: Baseline
MESSAGE-GLOBIOM 1.0,SSP2-Baseline,P1a,P1a: Baseline
REMIND-MAgPIE 1.5,SSP2-Baseline,P1a,P1a: Baseline
WITCH-GLOBIOM 3.1,SSP2-Baseline,P1a,P1a: Baseline
REMIND 2.1,SSP2-NDC,P1c,P1c: NDC
REMIND 2.1,SSP2-NPi,P1b,P1b: Current policies
REMIND 2.1,SSP2-PkBudg1100,P2a,P2: Immediate global action without trade
REMIND 2.1,SSP2-PkBudg1300,P2a,P2: Immediate global action without trade
REMIND 2.1,SSP2-PkBudg900,P2a,P2: Immediate global action without trade
TIAM-UCL 4.1.1,SSP2_1_75D-66,P2,P2: Immediate global action
EDGE-Buildings 3.0,SSP2_2020_0.3_All,P2,P2: Immediate global action
EDGE-Buildings 3.0,SSP2_2020_0.3_NC,P2,P2: Immediate global action
EDGE-Buildings 3.0,SSP2_2020_1.0_All,P2,P2: Immediate global action
EDGE-Buildings 3.0,SSP2_2020_1.0_NC,P2,P2: Immediate global action
TIAM-UCL 4.1.1,SSP2_2D-66,P2,P2: Immediate global action
C3IAM 1.0,SSP2_5.0,P2,P2: Immediate global action
TIAM-UCL 4.1.1,SSP2_BASE,P1a,P1a: Baseline
C3IAM 1.0,SSP2_BAU,P1a,P1a: Baseline
EDGE-Buildings 3.0,SSP2_Ctax,P2,P2: Immediate global action
C3IAM 1.0,SSP2_NDC,P1c,P1c: NDC
MAgPIE 4.2,SSP2_RCP2.6,P2,P2: Immediate global action
MAgPIE 4.2,SSP2_RCP2.6+PeatProt,P2,P2: Immediate global action
MAgPIE 4.2,SSP2_RCP2.6+PeatRestor,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_lc_15,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_lc_50,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_15,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_15,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_lc_50,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_15,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_15,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_50,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_mc_15,P???,P???: Unknown
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_mc_50,P???,P???: Unknown
MIGRATION 1.0,SSP2_zeromig,P0,P0: Diagnostic
EDGE-Buildings 1.0,SSP3,P1a,P1a: Baseline
EDGE-Buildings 3.0,SSP3,P1a,P1a: Baseline
AIM/CGE 2.0,SSP3-34,P2,P2: Immediate global action
IMAGE 3.0.1,SSP3-34,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,SSP3-34,P2,P2: Immediate global action
WITCH-GLOBIOM 3.1,SSP3-34,P2,P2: Immediate global action
AIM/CGE 2.0,SSP3-45,P2,P2: Immediate global action
IMAGE 3.0.1,SSP3-45,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,SSP3-45,P2,P2: Immediate global action
WITCH-GLOBIOM 3.1,SSP3-45,P2,P2: Immediate global action
AIM/CGE 2.0,SSP3-60,P2,P2: Immediate global action
IMAGE 3.0.1,SSP3-60,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,SSP3-60,P2,P2: Immediate global action
WITCH-GLOBIOM 3.1,SSP3-60,P2,P2: Immediate global action
MIGRATION 1.0,SSP3-7.0_zeromig,P0,P0: Diagnostic
AIM 2.0,SSP3-Baseline,P1a,P1a: Baseline
AIM/CGE 2.0,SSP3-Baseline,P1a,P1a: Baseline
GCAM 4.2,SSP3-Baseline,P1a,P1a: Baseline
IMAGE 3.0.1,SSP3-Baseline,P1a,P1a: Baseline
MESSAGE-GLOBIOM 1.0,SSP3-Baseline,P1a,P1a: Baseline
WITCH-GLOBIOM 3.1,SSP3-Baseline,P1a,P1a: Baseline
C3IAM 1.0,SSP3_5.5,P2,P2: Immediate global action
C3IAM 1.0,SSP3_BAU,P1a,P1a: Baseline
C3IAM 1.0,SSP3_NDC,P1c,P1c: NDC
IMACLIM 1.1,SSP3_NoPolicy_TranspBase,P1a,P1a: Baseline
IMACLIM 1.1,SSP3_NoPolicy_TranspOpt,P1a,P1a: Baseline
IMACLIM 1.1,SSP3_RCP34_TranspBase,P2,P2: Immediate global action
IMACLIM 1.1,SSP3_RCP34_TranspOpt,P2,P2: Immediate global action
IMACLIM 1.1,SSP3_RCP45_TranspBase,P2,P2: Immediate global action
IMACLIM 1.1,SSP3_RCP45_TranspOpt,P2,P2: Immediate global action
MIGRATION 1.0,SSP3_zeromig,P0,P0: Diagnostic
EDGE-Buildings 1.0,SSP4,P1a,P1a: Baseline
WITCH-GLOBIOM 3.1,SSP4-19,P2,P2: Immediate global action
AIM 2.0,SSP4-26,P2,P2: Immediate global action
AIM/CGE 2.0,SSP4-26,P2,P2: Immediate global action
GCAM 4.2,SSP4-26,P2,P2: Immediate global action
IMAGE 3.0.1,SSP4-26,P2,P2: Immediate global action
WITCH-GLOBIOM 3.1,SSP4-26,P2,P2: Immediate global action
AIM 2.0,SSP4-34,P2,P2: Immediate global action
AIM/CGE 2.0,SSP4-34,P2,P2: Immediate global action
GCAM 4.2,SSP4-34,P2,P2: Immediate global action
IMAGE 3.0.1,SSP4-34,P2,P2: Immediate global action
WITCH-GLOBIOM 3.1,SSP4-34,P2,P2: Immediate global action
AIM 2.0,SSP4-45,P2,P2: Immediate global action
AIM/CGE 2.0,SSP4-45,P2,P2: Immediate global action
GCAM 4.2,SSP4-45,P2,P2: Immediate global action
IMAGE 3.0.1,SSP4-45,P2,P2: Immediate global action
WITCH-GLOBIOM 3.1,SSP4-45,P2,P2: Immediate global action
MIGRATION 1.0,SSP4-6.0_zeromig,P0,P0: Diagnostic
GCAM 4.2,SSP4-60,P2,P2: Immediate global action
IMAGE 3.0.1,SSP4-60,P2,P2: Immediate global action
WITCH-GLOBIOM 3.1,SSP4-60,P2,P2: Immediate global action
AIM 2.0,SSP4-Baseline,P1a,P1a: Baseline
AIM/CGE 2.0,SSP4-Baseline,P1a,P1a: Baseline
GCAM 4.2,SSP4-Baseline,P1a,P1a: Baseline
IMAGE 3.0.1,SSP4-Baseline,P1a,P1a: Baseline
WITCH-GLOBIOM 3.1,SSP4-Baseline,P1a,P1a: Baseline
MIGRATION 1.0,SSP4_zeromig,P0,P0: Diagnostic
EDGE-Buildings 1.0,SSP5,P1a,P1a: Baseline
GCAM 4.2,SSP5-19,P2,P2: Immediate global action
REMIND-MAgPIE 1.5,SSP5-19,P2,P2: Immediate global action
AIM 2.0,SSP5-26,P2,P2: Immediate global action
AIM/CGE 2.0,SSP5-26,P2,P2: Immediate global action
GCAM 4.2,SSP5-26,P2,P2: Immediate global action
REMIND-MAgPIE 1.5,SSP5-26,P2,P2: Immediate global action
AIM 2.0,SSP5-34,P2,P2: Immediate global action
AIM/CGE 2.0,SSP5-34,P2,P2: Immediate global action
GCAM 4.2,SSP5-34,P2,P2: Immediate global action
IMAGE 3.0.1,SSP5-34,P2,P2: Immediate global action
REMIND-MAgPIE 1.5,SSP5-34,P2,P2: Immediate global action
WITCH-GLOBIOM 3.1,SSP5-34,P2,P2: Immediate global action
AIM 2.0,SSP5-45,P2,P2: Immediate global action
AIM/CGE 2.0,SSP5-45,P2,P2: Immediate global action
GCAM 4.2,SSP5-45,P2,P2: Immediate global action
IMAGE 3.0.1,SSP5-45,P2,P2: Immediate global action
REMIND-MAgPIE 1.5,SSP5-45,P2,P2: Immediate global action
WITCH-GLOBIOM 3.1,SSP5-45,P2,P2: Immediate global action
AIM 2.0,SSP5-60,P2,P2: Immediate global action
AIM/CGE 2.0,SSP5-60,P2,P2: Immediate global action
GCAM 4.2,SSP5-60,P2,P2: Immediate global action
IMAGE 3.0.1,SSP5-60,P2,P2: Immediate global action
REMIND-MAgPIE 1.5,SSP5-60,P2,P2: Immediate global action
WITCH-GLOBIOM 3.1,SSP5-60,P2,P2: Immediate global action
MIGRATION 1.0,SSP5-8.5_zeromig,P0,P0: Diagnostic
REMIND 2.1,SSP5-Base,P1a,P1a: Baseline
AIM 2.0,SSP5-Baseline,P1a,P1a: Baseline
AIM/CGE 2.0,SSP5-Baseline,P1a,P1a: Baseline
GCAM 4.2,SSP5-Baseline,P1a,P1a: Baseline
IMAGE 3.0.1,SSP5-Baseline,P1a,P1a: Baseline
REMIND-MAgPIE 1.5,SSP5-Baseline,P1a,P1a: Baseline
WITCH-GLOBIOM 3.1,SSP5-Baseline,P1a,P1a: Baseline
REMIND 2.1,SSP5-NDC,P1c,P1c: NDC
REMIND 2.1,SSP5-NPi,P1b,P1b: Current policies
REMIND 2.1,SSP5-PkBudg1100,P2a,P2: Immediate global action without trade
REMIND 2.1,SSP5-PkBudg1300,P2a,P2: Immediate global action without trade
REMIND 2.1,SSP5-PkBudg900,P2a,P2: Immediate global action without trade
MIGRATION 1.0,SSP5_zeromig,P0,P0: Diagnostic
Shell World Energy Model 2018,Sky,P???,P???: Unknown
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,P2c,P2: Other policies + Immediate global action
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,P2a,P2: Immediate global action without trade
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-NDC,P1c,P1c: NDC
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,P2a,P2: Immediate global action without trade
GMM-17,Symphony_1.5C,P2,P2: Immediate global action
TIAM-ECN AFR 1.1,TAX,P1d,P1d: Other policies
TIAM-ECN KEN 1.1,TAX,P1d,P1d: Other policies
AIM/CGE 2.1,TERL_15D_LowCarbonTransportPolicy,P2,P2: Immediate global action
AIM/CGE 2.1,TERL_15D_NoTransportPolicy,P2,P2: Immediate global action
AIM/CGE 2.1,TERL_2D_LowCarbonTransportPolicy,P2,P2: Immediate global action
AIM/CGE 2.1,TERL_2D_NoTransportPolicy,P2,P2: Immediate global action
AIM/CGE 2.1,TERL_Baseline_LowCarbonTransportPolicy,P1a,P1a: Baseline
AIM/CGE 2.1,TERL_Baseline_NoTransportPolicy,P1a,P1a: Baseline
REMIND 2.1,TechCost-SSP2-B1100-bioH,P2a,P2: Immediate global action without trade
REMIND 2.1,TechCost-SSP2-B1100-ccsH,P2a,P2: Immediate global action without trade
REMIND 2.1,TechCost-SSP2-B1100-coalH,P2a,P2: Immediate global action without trade
REMIND 2.1,TechCost-SSP2-B1100-elh2H,P2a,P2: Immediate global action without trade
REMIND 2.1,TechCost-SSP2-B1100-gasH,P2a,P2: Immediate global action without trade
REMIND 2.1,TechCost-SSP2-B1100-nucH,P2a,P2: Immediate global action without trade
REMIND 2.1,TechCost-SSP2-B1100-oilH,P2a,P2: Immediate global action without trade
REMIND 2.1,TechCost-SSP2-B1100-spvH,P2a,P2: Immediate global action without trade
REMIND 2.1,TechCost-SSP2-B1100-windH,P2a,P2: Immediate global action without trade
REMIND-Transport 2.1,Transport_Budg1100_BE,P2a,P2: Immediate global action without trade
REMIND-Transport 2.1,Transport_Budg1100_BE-LS,P2a,P2: Immediate global action without trade
REMIND-Transport 2.1,Transport_Budg1100_Conv,P2a,P2: Immediate global action without trade
REMIND-Transport 2.1,Transport_Budg1100_Conv-LowD,P2a,P2: Immediate global action without trade
REMIND-Transport 2.1,Transport_Budg1100_ConvCase,P2a,P2: Immediate global action without trade
REMIND-Transport 2.1,Transport_Budg1100_ConvCaseWise,P2a,P2: Immediate global action without trade
REMIND-Transport 2.1,Transport_Budg1100_ConvSyn,P2a,P2: Immediate global action without trade
REMIND-Transport 2.1,Transport_Budg1100_ElecEra,P2a,P2: Immediate global action without trade
REMIND-Transport 2.1,Transport_Budg1100_ElecEraWise,P2a,P2: Immediate global action without trade
REMIND-Transport 2.1,Transport_Budg1100_ElecPush,P2a,P2: Immediate global action without trade
REMIND-Transport 2.1,Transport_Budg1100_ElecPush-LowD,P2a,P2: Immediate global action without trade
REMIND-Transport 2.1,Transport_Budg1100_FC,P2a,P2: Immediate global action without trade
REMIND-Transport 2.1,Transport_Budg1100_H2Push,P2a,P2: Immediate global action without trade
REMIND-Transport 2.1,Transport_Budg1100_HydrHype,P2a,P2: Immediate global action without trade
REMIND-Transport 2.1,Transport_Budg1100_HydrHypeWise,P2a,P2: Immediate global action without trade
REMIND-Transport 2.1,Transport_Budg1100_IC,P2a,P2: Immediate global action without trade
REMIND-Transport 2.1,Transport_Budg1100_IC-LS,P2a,P2: Immediate global action without trade
REMIND-Transport 2.1,Transport_Budg1100_ICsyn,P2a,P2: Immediate global action without trade
REMIND-Transport 2.1,Transport_Budg1100_SynSurge,P2a,P2: Immediate global action without trade
REMIND-Transport 2.1,Transport_Budg1100_SynSurgeWise,P2a,P2: Immediate global action without trade
REMIND-Transport 2.1,Transport_NDC,P1c,P1c: NDC
REMIND-Transport 2.1,Transport_NDC_Conv,P1c,P1c: NDC
REMIND-Transport 2.1,Transport_NDC_ConvCase,P1c,P1c: NDC
REMIND-Transport 2.1,Transport_NDC_ConvCaseWise,P1c,P1c: NDC
REMIND-Transport 2.1,Transport_NDC_IC,P1c,P1c: NDC
REMIND-Transport 2.1,Transport_NPi,P1b,P1b: Current policies
REMIND-Transport 2.1,Transport_NPi_Conv,P1b,P1b: Current policies
REMIND-Transport 2.1,Transport_NPi_IC,P1b,P1b: Current policies
GMM-17,Unfinished_Symphony,P???,P???: Unknown
AIM/Hub-Global 2.0,WB2C,P2,P2: Immediate global action
IMACLIM 1.1,base_DemandHigh_FossilHigh_TechHigh,P1a,P1a: Baseline
IMACLIM 1.1,base_DemandHigh_FossilLow_TechHigh,P1a,P1a: Baseline
IMACLIM 1.1,base_DemandHigh_FossilLow_TechLow,P1a,P1a: Baseline
IMACLIM 1.1,base_DemandLow_FossilHigh_TechHigh,P1a,P1a: Baseline
IMACLIM 1.1,base_DemandLow_FossilHigh_TechLow,P1a,P1a: Baseline
IMACLIM 1.1,base_DemandLow_FossilLow_TechHigh,P1a,P1a: Baseline
IMACLIM 1.1,base_DemandLow_FossilLow_TechLow,P1a,P1a: Baseline
TIAM-ECN ETH 1.1,baseline,P1b,P1b: Current policies
IMACLIM 1.1,peak2016_DemandHigh_FossilHigh_TechHigh,P2,P2: Immediate global action
IMACLIM 1.1,peak2016_DemandHigh_FossilLow_TechHigh,P2,P2: Immediate global action
IMACLIM 1.1,peak2016_DemandHigh_FossilLow_TechLow,P2,P2: Immediate global action
IMACLIM 1.1,peak2016_DemandLow_FossilHigh_TechHigh,P2,P2: Immediate global action
IMACLIM 1.1,peak2016_DemandLow_FossilHigh_TechLow,P2,P2: Immediate global action
IMACLIM 1.1,peak2016_DemandLow_FossilLow_TechHigh,P2,P2: Immediate global action
IMACLIM 1.1,peak2016_DemandLow_FossilLow_TechLow,P2,P2: Immediate global action
IMACLIM 1.1,peak2020_DemandHigh_FossilHigh_TechHigh,P2,P2: Immediate global action
IMACLIM 1.1,peak2020_DemandHigh_FossilLow_TechHigh,P2,P2: Immediate global action
IMACLIM 1.1,peak2020_DemandHigh_FossilLow_TechLow,P2,P2: Immediate global action
IMACLIM 1.1,peak2020_DemandLow_FossilHigh_TechHigh,P2,P2: Immediate global action
IMACLIM 1.1,peak2020_DemandLow_FossilHigh_TechLow,P2,P2: Immediate global action
IMACLIM 1.1,peak2020_DemandLow_FossilLow_TechHigh,P2,P2: Immediate global action
IMACLIM 1.1,peak2020_DemandLow_FossilLow_TechLow,P2,P2: Immediate global action
IMACLIM 1.1,peak2025_DemandHigh_FossilHigh_TechHigh,P2,P2: Immediate global action
IMACLIM 1.1,peak2025_DemandHigh_FossilLow_TechHigh,P2,P2: Immediate global action
IMACLIM 1.1,peak2025_DemandHigh_FossilLow_TechLow,P2,P2: Immediate global action
IMACLIM 1.1,peak2025_DemandLow_FossilHigh_TechHigh,P2,P2: Immediate global action
IMACLIM 1.1,peak2025_DemandLow_FossilHigh_TechLow,P2,P2: Immediate global action
IMACLIM 1.1,peak2025_DemandLow_FossilLow_TechHigh,P2,P2: Immediate global action
